front,back
List a few of the major transformer types mentioned in the CS25 course from Stanford,"1. GPT-3 decoder
	2. Decision transformer for RL
	3. Mixture of experts/switch transformer
	4. Perceiver (Projection)
	5. Non-parametric transformers
	6. Audio
	7. GLOM"
How are the properties of the covariance matrix similar to a hermitian matrix? ,"Covariance matrix is normal and hermitian, so it is diagonalizable, and its eigenvalues are real, and different eigenvalues have orthogonal eigenvectors. "
Why is principle components analysis equivalent to finding the eigenvectors of the covariance matrix? ,"Once you find the eigenvectors of the covariance matrix, then view all of your data along the eigenvectors (ie project onto the eigenvectors and then calculate the covariance), then 
the remaining variance will be in independent components. 
Moreover, those components will have decreasing/increasing importance, and some can be dropped. "
"What is the covariance of a vector of random variables?
What about for a finite sample of data? ","It is the average of (x-\bar{x})(x - \bar{x})^T, with diagonal elements being the variances.
If x has length p, then a finite sample of n values of x will have a covariance matrix X^T X where X is n by p (that is, you sum over the sample dimension). "
Why was pixelVAE (a blend of pixelCNN and VQ-VAE) better than either individually? ,"VAE allows for explicit finding of latent variables, which can guide global structure on the decoder end. PixelCNN is bad at this (linear expansion of context with depth).
PixelCNN is very good at fine detail and edges and things like that, so gets the resolution really good. "
What is PixelVAE? ,"It blends VQ-VAE with pixelCNN.
Specifically vector-quantized variational autoencoder, with a sequence of hierarchical pixelCNN autoregressive decoders. "
What did the second VQ-VAE paper add to the original VQ-VAE paper to make it even better at high-resolution image generation? ,"Hierarchy.
It compressed the image further, doing hierarchical encoding for increased resolution, then sampled and decoded in this hierarchical way as well. "
What is one major difference between images generated by GANs compared to VQ-VAE (at least a general trend). ,"GANs learn to collapse to a specific type of image to fool the critic network. They lack representational diversity (think of man holding a fish always being the same). 
VQ-VAE generates images that have high diversity, while being semantically the same (ie zoomed in images of an ostrich vs far out) "
"What problem is Beta-VAE trying to solve, and how does it solve it? ","Vanilla VAE doesn't have a strong prior to learn disentangled latent variables. Ie tuning smiling could also tune the pose.
Beta-VAE adds a stronger penalty for regularization in the cost function (the KL divergence term). This forces independent distributions of each latent variables. Why does this work? Seems a bit unclear but basically a strong KL term means it tries to restrict the amount of information recorded, so information being minimized means having the least amount of correlation in the underlying variables (unsure)? "
What was I originally confused about regarding VQ-VAE architectures? How does it turn out they are actually able to overcome this problem? ,"I was worried a latent space with just 512 possible categorical quantizations can't possibly reproduce enough complexity like what we see in nature. 
In reality this is not how it's done. There are something like 32x32 independent categorical varaibles (so 512^(32*32) possible outcomes in the latent space). So flexibility is sufficient."
"Describe the additional structure of the hidden layer in VQ-VAE. 
How is the latent variable determined from the output of a neural network, and how is it then fed back into the decoder network? ","Encoder produces vector representation. 
Vector quantization finds closest cluster of examples (really there are K vectors that represent the latent space, and it finds the closest one). 
Output uses that vector representation (not the original) for generation. "
What is the main difference in the structure of the latent space for VQ-VAE compared to VAE? (vector quantized VAE vs normal VAE) ,"Latent space is a set of categorical variables in VQ-VAEs, rather than continuous spaces like a Gaussian for VAEs "
Describe how the reparametrization trick is used to make a stable gradient calculation in a variational autoencoder. Specifically for the case of a Gaussian prior. ,"You parametrize mu and sigma with a network. You write the expectation value of some f(z) over q(z) as expectation over unit normal for variable epsilon of f(mu + sigma*epsilon).
Now you can differentiate in sigma, then average over epsilon, etc. 
This is stable beacuse the average over epsilon is tractable. "
"What are the two tricks used to compute the gradient of the expectation value of some function, where you are taking a gradient with respect to the parameters of the distribution?
When can they both be used or not? ","Likelihood gradient ratio: this can always be used, but is noisy because you do it for a single sample.
Reparametrization trick: this can only be used for some easily-parametrized distributions, but in this case it's more stable since the randomness is now explicitly already averaged over to get the gradient. "
What are the steps to setting up and training a variational autoencoder ,"Assume latent variables exist
Write exact log likelihood to maximize, with summation over q(z). 
To make this easier to work with, do importance sampling, then use Jensen's to take out the average over q(z).
This gives you the usual formula for the lower bound which can be written as expectation_q(z) of log(p(z) p(x|z)) + entropy over q(z). 
Parametrize your q_phi(z|x_i) and p_theta(x_i|z) and then optimize over all of these. To maximize it.
Specifically, given some x_i samples, generate z_i samples, then calculate the VAE objective "
What are the two effective components of the variational lower bound on an autoencoder loss function? ,"Reconstruction loss is Exp_q [log(p(x|z)]
Regularization term (minus KL divergence of q(z) from p(z)) "
"How is the variational lower bound on an autoencoder loss function derived from the importance weighted autoencoder?
What is the single step which provides this lower bound? ",The step is taking the expectation value outside the log. This leads to a lower bound on the original function (the log likelihood). 
What is importance sampling in the context of variational autoencoders? ,"You want to sample z values with a high probability of generating observed data. The ultimate goal is to calculate p_theta(x) = \sum_z p_theta(x|z)p(z).
You choose a sampling distribution q(z) which is likely to give those values. Then you can weigh the expectation value over z by Exp_q [p_theta(x|z)p(z)/q(z)] and you get meaningful samples. "
What is the computational difficulty of just sampling values in the latent space in order to learn to optimize your variational autoencoder? ,"If sample z values don't reproduce the datapoints (they generally won't in a super high dimensional space), then you never have any signal to begin optimization. "
What is the underlying assumption made in order to use a variational autoencoder? ,Assumes latent variables exist. 
"What is the theoretical formula of the exact target function for a variational autoencoder?
What is the difficult part of using this? ","We want to maximize log(p_theta(x)) with p_theta(x) = \sum_z p_theta(x|z)p(z).
The difficulty is that the sum over z is inside the log, which makes the computation harder. "
What is the major difference between variational autoencoders (VAEs) and flow models? ,"The latent space has smaller dimensionality in VAEs, but same in flow models. VAEs compress information. "
What did Geoff Hinton think is the key to creating useful representations of natural languages or images? ,"Hierarchy. Specifically trying to learn the part-whole hierarchy.
For each patch of an image, or token in NLP, visualize each embedding as containing part/whole hierarchical encodings (a column of vectors, with more abstract concepts at the top, which agree across columns). "
What is the basic unit of interpretability in an audio transformer? How is a sequence of tokens extracted? ,You take a discrete FFT over certain time sequences of data (choose a context size). This is like the embedding vector. 
"What would you call a transformer with attention across examples in a minibatch, used at test time? ",Non-parametric transformers (NPTs) (Cohere AI) 
How did Cohere AI seek to extend the transformer architecture ,"Non-parametric transformers (NPTs)
They do transformer attention across examples in a minibatch, as well as within a sequence. Show that it improves accuracy a little "
"What is a parametric model vs a non-parametric model?
Describe the difference, then give an example of each. ","Parametric is predicts data x given parameters theta and theta only.
Non-parametric is it can use other data at test time to help predict the result. 
Examples are direct generative models, vs kNNs to classify an object. "
What are two problems with the byte pair encoding (BPE)? ,"It assigns varying importance to words (varying number of tokens)
It gives different outputs based on different factorization (the number of spaces after a word can affect the meaning encoding) "
What uses/example cases were shown for the perceiver architecture (Deepmind)? ,"They can stop using byte pair encoding and still achieve good loss on NLP. They want to do this because BPE has problems.
The real benefit is not making an assumption of the structure of the input data. The positional encoding and embedding can just be learned as necessary. "
What is the goal of the perceiver architecture (Deepmind)? ,"Problem of attention being quadratic
Problem of attention architecture being designed for a fixed context/modality. "
How is the perceiver architecture (Deepmind) different from a normal transformer? ,"Query is a learned set of vectors with a fixed number of tokens. 
Keys and values are linear in input.
Transformer operates in this embedding space, after that one crossed attention input. "
What is the idea of a mixture of experts or switch transformer? ,Try to reduce computation time and make architecture adaptive by only triggering computation using subsets of the network when necessary. 
What is the Pearson correlation coefficient? And what values can it take? ,"It is a measure of linear correlation between two sets of data. It is the ratio between the covariance of two variables and the product of their standard deviations; thus, it is essentially a normalized measurement of the covariance, such that the result always has a value between −1 and 1."
What counts as patent infringement in terms of the actual document and the claims? ,"Must infringe on all elements of a claim completely to infringe on a patent
But it only has to be one claim out of all of them. "
"What is the circuit found in the mechanistic interpretability paper by Nanda?
Describe the claims about the output of the various layers, in brief. ","Embedding gets sin and cosine of input at a specific number
Attention heads + MLP gets neuron activations that are periodic in both a and b (like sin(w(a+b)) ).
Unembedding gets cos(w(a + b - c)) and constructively interferes a few frequencies to end up with result "
"In the article ""Progress measures for grokking via mechanistic interpretability"" by Nanda et al, what feature of the network training was required to observe grokking, they say? ","Weight decay must be present, they observe.
Other evidence is: There is a signature in the norms of weights at each transition during training. "
"In the article ""Progress measures for grokking via mechanistic interpretability"" by Nanda et al, what tools are used to measure behavior? ","General loss (test and train)
Ablation of key frequencies or of non-key frequencies, and test/train loss. "
"In the article ""Progress measures for grokking via mechanistic interpretability"" by Nanda et al, what is the final interpretation of the process of Grokking? ","First stage: memorization (train loss goes down, test is still bad)
Second stage: Building a generalization circuit (and can detect this with other methods), but still using memorization for prediction (still high test loss)
Third stage: forgetting memorization information, and generalizing (now test loss goes down) "
What is Grokking in a language model? ,"Train loss goes down early, but then later test loss goes down "
"What is the test setup/architecture for the article ""Progress measures for grokking via mechanistic interpretability"" by Nanda et al? ",Main subject: modular arithmetic with a 1 layer transformer and MLP
Describe the transformer-XL architecture. How is the context length extended? ,"Previous layer hidden states are cached, and are not used to compute gradients or anything. 
For each segment of tokens under test, the keys and values for each layer are extended in context backward by one additional segment.
As a result, the effective context size is increasing backwards like a triangle segment size * layer number. "
What is the statement of the Cramer Rao bound? ,"The inverse Fisher information is a lower bound on the expected variance of an unbiased estimator of a parameter, given the data. "
The Fisher information has two equivalent formulations. What are they? ,"It is the expecation of negative curvature of the log likelihood.
It is also the expectation of the variance of the Fisher score (derivative of log likelihood). "
What is the intuitive description of the Fisher score? ,"It is derivative of log likelihood of x with theta.
So when this is large, it says the fractional change in x with theta is large, so s carries a lot of information about the posterior on theta. "
What is the prior predictive density for a Bayesian variable x with some distribution dependent on parameters theta? ,"It is the distribution over x, averaged over the distribution of theta as well. "
How is the Fisher information related to the certianty on the parameters of a distribution? ,Fisher information is inverse certainty (variance of parameters). High fisher = low variance. 
What is the intuition about the size of the Fisher information for a distribution and some data? ,"If Fisher information is large at the MLE, this means you are at a very strongly peaked maximum of the likelihood. So your certainty on the parameters will correspondingly be high. "
What is the first derivative of the log-likelihood function with respect to the parameters of the likelihood function? What about the second derivative? ,"The first derivative is commonly known as the Fisher score function.
The Fisher information is the negative expected value of the second derivative. "
What is the Fisher score function? ,The first derivative of the log-likelihood function with respect to the parameters of the likelihood function is commonly known as the Fisher score function. 
What is a maximum likelihood estimator (MLE) ,The maximum likelihood estimator (MLE) of some parameters of a distribution is the value of all possible parameters that maximizes the likelihood of the data that was observed. 
What is the likelihood function of some observed data and probability distribution? ,The likelihood function of some observed data with some parametrized probability distribution is a function of the parameters of the distribution. It is the probability of observing the data given the parameters. 
What is the additional requirement for the mapping in multi-dimensional flow models compared to single dimensional? ,The mapping change of variables determinant must be easy to compute (in addition to being invertible and differentiable). 
"What did the NICE (2014) and RealNVP (2016), and Glow (2018) papers implement, and how did the latter ones add on the former?","NICE: Partition into 2 sets, do some transformation on one set to make the multi-dimensional flow model easy to calculate and invert. 
RealNVP: Do affine transformation on the other set. And partition in interesting ways to advantage the priors (ie use checkerboard on an image, and things like that).
Glow: adds a 1x1 covolution of the image which basically just permutes between the images, and is easily invertible. This makes it even more able to disentangle variables."
What did the NICE paper (2014) argue is the motivation for multi-dimensional flow models?,"A good representation has independent latent variables.
They say: ""It is based on the idea that a good representation is one in which the data has a distribution that is easy to model. For this purpose, a non-linear deterministic transformation of the data is learned that maps it to a latent space so as to make the transformed data conform to a factorized distribution, i.e., resulting in independent latent variables"" "
"Name the 3 main papers from CS294 lecture on multi-dimensional flow models, and their full names (not just acronyms)","NICE (2014) on non-linear independent components estimation
RealNVP (2016) on real-valued non-volume preserving transformations 
Glow (2018)"
"In multi-dimensional flow models, such as Glow by OpenAI, what is one unique way to use the latent space for generative applications? ","Can measure two classes of objects, find their relative vector, and then augment other images along this axis (like smiling) "
What is dequantization in a flow model? ,"Perturb your data if it is discrete before trying to fit a continuous flow model.
Ie add uniform noise in some range (corresponding to the distance between discretization) "
What is one major drawback of an autoregressive multi-dimensional flow model? ,"Given the mapping parameterization, the sampling problem has to be done sequentially, but computing each x from each z separately. 
Training is simple and fast, but sampling is slow.
Inverse autoregressive model is the opposite (fast sampling, slow training) "
"Give an example of an autoregressive multi-dimensional flow model, and an inverse one ","Forward model:
Z_1 = F_1(x_1)
Z_2 = f_2(x_2; x_1)
Z_3 = f_3(x_3; x_2, x_1)
Inverse swaps z and x."
"For multi-dimensional flow models, what are the main differences in the MLE estimator from a 1D flow model?","You now have to use the jacobian of the transformation, rather than just the derivative. 
Log of p(z) is potentially more complicated as well, since the distribution is not necessarily separable into the different dimensions of z. "
Give a few examples of maps for a 1D flow model that are invertible and differentiable,"Mixture of cumulative density functions of gaussians 
Mixture of logistics. "
What are the two core requirements for a 1D flow model map in order to work?,Must have f_theta(x) be invertible and differentiable 
What is the prototypical example of a 1D flow model?,"Cumulative density function IS a NORMALIZING FLOW that maps any density over x to the uniform distribution over z in 0 to 1. 
map: Z = F_theta(x) = cdf up to x of pdf.
Result: sample in z, map to some area in x. Can imagine that large density x regions map to fast changing CDF, which gets sampled often. 
Analytically: get prob in x from probability p(z) * df/dx = p_theta(x)."
Describe the basic steps of a 1D flow model for inference and sampling.,"Pick a latent space for variable z, and some underlying distribution for z, called p(z) (like a unit Guassian over z).
Generate a test distribution over x by mapping from this latent space for z to x in a specific way. The parameters of the distribution over x are the map between z and x. This ensures normalization. 
Find the optimum map parameters to reproduce the data. "
What is the main purpose of a flow model for embedding a random distribution in another variable? ,"Disentangle subspaces of relevant behavior into independent dimensions to improve sampling and interpretability. 
Deal with continuous data in a stable way. "
List a few of the attention patterns used to upgrade transformers that try to reduce the complexity scaling with context length. ,"Strided context or fixed (spaced) context (Sparse transformer)
Combining local and global context (Extended transformer construction, Longformer, and Big Bird)
Hashing for L log(L) scaling with token length (Reformer, Hash keys. Find groups, then only attend within groups, and from final token to next group.)
Low rank attention (Linformer - linear complexity, Project token space down to a smaller dimension somehow ) "
"What is the main defining characteristic of the Universal Transformer architecture, as opposed to the vanilla transformer? ","Universal ""aims to benefit from both a long-term global receptive field of Transformer and learned inductive biases of RNN.""
It has a single layer with parameters, but repeats a variable number of layers. Stops when certain conditions are reached. "
What are two methods tried to adjust the attention mechanism in transformers based on distance? What axes can be addressed? ,"Distance-aware attention (Add learned biases to each key attention based on relative distance)
Adaptive attention spans (Each head learns a context size to use (has to decay at end to be differentiable) "
What are a few methods tried to increase the context length of transformers? ,"Transformer-XL: Use previously computed hidden states 
Compressive transformer: Compresses memories intentionally then keeps them in context 
External memory: stores key-value pairs "
List a few of the positional embeddings used in transformers ,"Fixed sinusoidal
Learned positional
Relative position encoding 
Transformer-XL position encoding
Rotary position embedding "
"In the ROME: Rank one model editing paper, what was the final location of most stored memories? What spot was most effective on average for restoring faculty? ","""This hypothesis localizes factual association along three dimensions, placing it (i) in the MLP modules (ii) at specific middle layers (iii) and specifically at the processing of the subject’s last token."" "
"In the ROME: Rank one model editing paper, what method was used to locate the stored position of factual memories? ","Measure object prediction in a phrase.
Measure object prediction after corrupting subject data (adding random noise to first embedding)
Restore output of specific heads in specific layers to see how they improve final prediction. "
What does ROME stand for (a method in transformers)? ,"ROME: Rank one model editing 
Is a method of altering memories in a transformer "
What are two general ways to look for behavior in a language model (for example when identifying induction heads)? ,"Correlation analysis
Causal analysis through perturbations (ie. ablations). "
List the major sources of correlative evidence for induction head formation that were found in the post by the anthropic people. ,"In context macroscopic learning loss correlated with induction head formation
Also with a bump in training loss
Also with a change in the PCA of the loss behavior. "
"What macroscopic loss metric was measured in the post ""In context learning and induction heads"" to determine if inductive behavior was occuring? ",In context learning loss is measured by looking at loss at 50th token and 500th token (better loss at end = in context learning)
"What behavior was measured in the post ""In context learning and induction heads"" to determine if an attention head was an inducation head? ",Induction head appearance is measured by success on random token repetition prediction. If a head predicts repeated sequences to happen again (even if never seen before) this is considered an induction head. 
"What was the main goal of the post ""In context learning and induction heads""? ",Goal is to try to determine the mechanistic source of in context learning within toy models and large models. Also to argue it is induction heads. 
What is the main statistical failure present in the skip-trigram interpretation of a 1 layer transformer?,"Skip trigrams learn statistical associations, but the value vectors are added together linearly. 
So if two skip associations are present, along with both trigger keys, then the model will statistically mix up the next token between them. "
"What is a zero layer transformer equivalent to?
What about a 1 layer transformer?","Zero layer just embeds and unembeds. The learned transformation will just be bigram statistics. 
One layer can incorporate skip-trigram statistics. It can learn to search for previous tokens corresponding to each token, and if they are present, output some specific value. "
"What is an alternative way to visualize the query/key transformation of an attention layer, and the output value? ","The query-key matrix is a low rank matrix of size n_emb by n_emb that determines mappings between token positions (based on their embeddings)
The output-value matrix is a low rank matrix of size n_emb by n_emb that maps within a single token to other embeddings for other tokens.
These act on separate spaces as linear transformations. "
What were the main parameters determining whether there was presence or absence of superposition in the toy model of superposition by the people at anthropic? ,"Sparsity is required. 
ReLU is requried, with a negative bias added as well, so that certain features can not activate other features. "
What methods were used to visualize the presence or absence of superposition in the toy model of superposition by the people at anthropic? ,"They visualize the low rank W^T W matrix, which is a n x n matrix mapping features to features. It is mostly diagonal, and diagonal values should be 1 on average, since they reconstruct the same feature (should be identity)
The squared norm of the off diagonal parts of W^T W rows tells how much of each feature is not orthogonal to others. 
The total norm of each embedding tells whether something is represented or not."
What are the features of the input and output space of the toy model for superposition detection proposed by the folks at Anthropic? ,"Input has uniform sparsity (probability S that feature = 0, otherwise uniform in [0,1]
Feaures have varying importance (in the final MSE loss function for each feature).
Features x_i are independent.
Loss is MSE loss of input compared to output, with varying importance."
Describe the setup of the toy model for superposition detection proposed by the folks at Anthropic ,"Take a high dimensional feature space of dimension n 
Encode this set of features down into a smaller embedding space of dimension m < n using an embedding matrix W. 
Decode using W_transposed back to feature space and adding a feature-dependent bias, then apply ReLU.
Goal: see if features can be reconstructed or not, and whether superposition arises. "
What assumption is necessary for superposition to occur in a toy model with non-linear activation? ,Sparisty is required: assumes features don't activate often (so don't activate together often) 
What are two equivalent formulations of the output of the attention head in a transformer? ,"Can output low dimensional embeddings, then stack them, then project.
Can output low dimensional embeddings, then project to high dimensions, then add them.
Basic idea is attention heads can be seen as added together, linearly independently. "
"For a transformer being used to predict action sequences in reinforcement learning, what conditional information can be fed in to affect the behavior? (Think of the caption being used to condition the image embedding in CLIP) ","You can specify the target final reward, and get the agent to choose a trajectory which is close to achieving this reward. "
What are a few examples of bottlenecks for information in a transformer? ,"Value vectors are much lower dimensional than the original representation, and are the only way to copy information from one token to another. 
The residual stream is the only way to copy from one MLP layer to another MLP layer, and this is much lower dimensional than the input to the MLP (and must compete with all other information stored in the residual stream). "
What is an induction head in a multi-layer attention only transformer? ,"First layer head copies the previous token's information into the current token. In order to make a key that corresponds to the previous token, and a value corresponding to the current token
Second layer induction head finds previous instances of keys corresponding to itself. Then copies value from next token that came after its previous instance. "
Properties of Hermitian matrices ,"A dagger equals A
Implies it is diagonalizable (because of Shurs decomposition and properties of a normal matrix).
All eigenvalues are real because you can take inner product with eigenvectors, and then conjugate it, and its the same.
All eigenvectors with differing eigenvalues are orthogonal. "
"What does the Shur decomposition ensure, and how does the algorithm proceed? ","It ensures every complex square matrix can be transformed into an upper triangular matrix in another basis.
It proceeds by identifying one eigenvector/eigenvalue, then decomposing the matrix into that subspace and its complement (removes all elements except for one in a column). Then repeat. "
How does the self-attention autoregressive model significantly improve on the pixelCNN architecture? ,"It still achieves parameter sharing, but doesn't restrict to local information propagation. It sees full conditional context at all layers. "
How does the PixelCNN architecture improve on the wavenet architecture? And what feature is slightly more complicated to implement than you might expect? ,"Introduces 2D convolutions/skip connections.
Difficulty is it also potentially introduces blind spots in the convolutional geometry, so you have to do special things to combat that."
What additional feature was necessary to make the wavenet architecture work well on image generation (such as MNIST)? ,Including positional encoding is crucial for it to work on MNIST data. 
How did wavenet improve on the MADE autoregressive modelling method? ,"It introduces shared parameters, as well as skip connections or ""dilated convolutions"". "
"Comparing masked autoregressive models to recurrent neural networks, what is the main computational difference? ",Masking allows for more parallel computation. 
"In the various approaches to autoregressive models, what are a few of the metrics or axes to compare architectures? ","Whether parameters are shared between different tokens (self attention it is, convolutional approaches it is, MADE it is not). 
Degree of connectivity or the receptive field size. "
"Methods to improve speed in autoregressive models, such as RNNs and Wavenet: ","Essentially break up hierarchy of conditioning (this has representational costs, as it reduces expressive power). However, this allows sub-sections of the image to be computed in parallel.
Caching (doesn't reduce expressive power). Example with Wavenet: can reuse previous computations. Makes next layer more like a linear problem I think? In the number of layers. "
4 types of masking mentioned as the historical progression in CS294 on autoregressive models,"MADE: masked autoencoder for distribution estimation
Wavenet: masked 1D convolution architecture
PixelCNN: generalization of wavenet to 2D
Self-attention"
How to improve recurrent neural networks (RNNs) on the MNIST image dataset? ,Add a positional encoding as part of the conditional information. 
What are two ways to simplify an auto-regressive model for sampling and inference? ,"Reduce context: Reduce size of conditional to make model simpler, and learn simple model
Reduce parameters, but keep full context: Or keep the model using full context, but learn it with a sufficiently complex neural network with regularization. Example: have an MLP for each marginal distribution. "
When is an autoregressive model possible for some probability distribution? ,"Always! Probability of joint observation is product of marginal probabilities conditioned on previous observations. This is exact
Log prob of this becomes sum of log probs given parents. "
How can you achieve sampling and inference using a histogram of data dependent on a 1D variable?,"Inference: given x, get p(x) from histogram directly (no model necessary)
Sampling: just generate cumulative distribution vs x (picture cumulative on y axis), then uniform sample, then take location y and find x location. This gives position x with probability proportional to derivative of cumulative function, so is correct
Problem: If data is sparse or high dimensional, this fails "
What are two metrics to use when evaluating the efficiency of a generative model? ,"Computational efficiency (how much resources to run)
Statistical efficiency (how many examples necessary to achieve a decent representation). "
What does MADE stand for? (it is a deep learning architecture) ,MADE: Masked Autoencoder for Distribution Estimation 
"How do you find the statistical uncertainty on the odds ratio for a 2x2 treatment and control situation, testing some outcome?","Each outcome has Poisson noise: each has fractional variance 1/num samples. Then you do chain rule to get total variance. 
The log of the odds ratio is a sum of independent random variables, so it is best to use to get the total uncertainty. 
Then you can get a confidence interval on the log of odds ratio, 
then exponentiate it's edges to get the confidence interval for the odds ratio."
What is the odds ratio for testing a drug intervention? ,The odds ratio is defined as the odds of an event in the active treatment group divided by the odds of an event in the control group. 
The derivative of the sigmoid function sig(x) is: ,"If the sigmoid function takes value sig(x), its derivative is sig(x)*(1-sig(x)). This goes to 0 at large amplitude input values, negative or positive."
What is the derivative of the entropy function for a bernoulli variable? What can it be written in terms of? ,"Is is minus the logit. You can also remember this based on the shape of the entropy function, and shape of the logit function. "
How do you get a confidence interval for a gaussian distributed variable? ,"For a given confidence interval (like 95%), look up the z value corresponding to that. Z value is deviation/std. deviation.
For your variable in question, you have a 95% chance it lies within +/- that z value of the estimated value."
"What is the relation between the logit function, odds, and probability of an event occuring p? ","p = odds/(1+odds) = sigmoid(logit)
logit = log(p/(1-p)) = log(odds)
odds = exp(logit) = p/(1-p)"
What is the logit function for an event with probability of occuring p? ,"it is the log of the odds, so log(p/(1-p)).
It is 0 at p=0.5, and goes way up/down at 0 or 1. Like a sideways s shape."
What is the definition of the odds of an event occuring? ,"If event occurs with probability p, odds are p/(1-p)."
"Optimizing the input to a neural network for activation of a specific neuron also requires some other constraints, or you get adversarial activations. What else must you potentially do to control for this? ","Examples are 
frequency penalization, 
transformation robustness (scale, shift etc), 
or having a strong prior for realistic images "
How can you create an image that causally activates a certain neuron or vector in a network? ,"Optimize pre-softmax logits to be large (this is better than optimizing post softmax for producing visually striking images, because post softmax optimization tries to reduce excitation of others)
Can optimize for de-excitation as well
Optimizing activation also requires some other constraints, or you get adversarial activations "
Name a few examples of low-level building blocks and primitives of neural network circuits ,"Equivariant low level detectors: curve detectors and high-low frequency edges
Unioning over cases to obtain pose-invariant detectors
Superposition to store information for later more efficiently "
Describe the basic setup of a simple recurrent neural network (RNN) ,"Input is a vector at each timestep, along with a hidden state.
Output is a new hidden state, and a prediction vector. 
Computation is:
Get new hidden vector h_new = tanh(W_hh * h_prev + W_xh * x)
Get new prediction y = W_hy * h_new "
What are the drawbacks of recurrent neural networks (RNNs)? ,"Not long enough memory. 
Encoding can be too compressive 
Don’t allow for parallel computation "
What is the difference in optimal scaling found in the Chinchilla paper (Deepmind) vs OpenAI paper by Kaplan? ,"Kaplan suggested 10x compute increase should use 5x parameter increase, and 2x training increase.
Chinchilla paper by Deepmind finds equal proportion increases instead."
"TD learning, Monte Carlo, and lambda returns are all ways of _________. ",Sampling the value function 
"Match the following methods of choosing an action to the corresponding reinforcement learning algorithm:
Algorithms: Value function, Q function, Policy probabilities, MCTS
Actions: highest visit count, look ahead and best value, direct choice of optimal action, direct action sampling ","Q function + direct choice of optimal action
Policy probabilities + direct action sampling
Value function + look ahead and best value
MCTS + highest visit count "
MCTS can be thought of as a type of __________ in the generalized policy iteration framework. ,Policy improvement operator 
What types of regularization are common in reinforcement learning? ,"Environment: Opponent pool choice and upper confidence bound
Network: L2 regularization of network parameters 
Action: Entropy favoring in policy gradient"
"What are the different ways to predict the target for training a reinforcement learning algoirthm? That is, what are the different targets used? 
Hint: it's always related to total expected returns ","Sampling value function (on policy). Types: TD learning, Monte Carlo, and lambda returns 
Q learning (off policy) using Bellman equation
Policy gradient formula (on policy). Types: Vanilla, baseline, and PPO (batch training, and clip)
Direct action prediction (cross entropy loss in AGZ) (on policy) "
What are the different types of outputs from a reinforcement learning algorithm to use to choose the action to take for the global policy? ,"Value function + look ahead and best value
Q function + direct choice of optimal action
Policy probabilities + direct action sampling
MCTS + highest visit count "
What are the three possible physical implementations to use in encoding value in reinforcement learning? ,"Lookup table for state
Feature vector and lookup table
Neural network "
"What architectural changes were made in alpha Go zero compared to alpha go, which allowed it to have a deeper RL architecture? ",Used residual connections and batch norm. 
What are the main parameter choices to make in the vanilla MCTS algorithm (for example the kind which I used in the Tron game)? ,"What rollout policy to use (has to be fast, but also somewhat accurate)
What upper confidence bound exploration pareter to use (need to not branch too much for computational efficiency) "
What are the main components of the monte-carlo tree search algorithm? ,"Selection of the node to expand, 
expansion of the tree, 
simulation from that node to the end of the game, and 
backup of value to all parent nodes, then 
final action selection "
"Why is realistic speech generation necessary, rather than just a cool artistic thing? ","In a noisy environment, it can significantly improve understanding. "
Why is unsupervised learning useful? What tasks can it be used for? ,"Take advantage of huge amounts of data. Improve a downstream task with fine tuning. Compression of information (representations).
Generate novel data "
